authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"L. van den Hoek Ostende","L. van den Hoek Ostende",,26792,P.,Peláez-Campomanes,N.,López-Martínez,"M.A. Alvarez Sierra, R. Daams",2000,"The earliest mammal of the European Paleocene: the multituberculate Hainina.","Journal of Paleontology",,74,4,701,711,"journal article","stated with evidence",English,,,,,"2008-03-19 01:11:52","2008-03-19 19:11:52"
"R. Benson","R. Benson","P. Mannion",42442,A.,Perez-Garcia,,,,2012,"The European Lower Cretaceous Chitracephalus dumonii (Testudines: Cryptodira) and the diversity of a poorly known lineage of turtles","Acta Palaeontologica Polonica",,57,3,575,588,"journal article","stated without evidence",English,10.4202/app.2011.0065,,,,"2012-07-26 01:00:06","2012-09-08 00:43:49"
"R. Benson","R. Benson",,42000,A.,Perez-Garcia,"M. S.","de la Fuente","F. Ortega",2012,"A new freshwater basal eucryptodiran turtle from the Early Cretaceous of Spain","Acta Palaeontologica Polonica",,57,2,285,298,"journal article","stated without evidence",English,10.4202/app.2011.0031,,,,"2012-06-14 01:44:55","2012-06-14 01:44:55"
"M. Uhen","M. Uhen","M. Uhen",13125,G.,Pilleri,,,,1986,,"The Cetacea of the Western Paratethys",,,,1,70,"book/book chapter","stated without evidence",,,,,,"2005-04-08 13:31:57","2005-04-09 06:32:02"
"M. Carrano","M. Carrano","M. Carrano",14209,"V. M.",Podobina,"G. M.",Tatyanin,"S. V. Leschchinskiy, A. V. Voronkevich, A. V. Faingerts",2002,"A review of the Early Cretaceous fossil vertebrates of the Sehstakovo assemblage (south-east western Siberia, Russia)","M. Wagreich (ed.), Aspects of Cretaceous Stratigraphy and Palaeobiogeography, Proceedings of the 6th International Cretaceous Symposium. Osterreichische Akademie der Wissenschaften Schriftenreihe der Erdwissenschaftlichen Kommissionen",,15,,239,247,"journal article","stated without evidence",English,,,ETE,,"2005-08-22 07:14:20","2005-08-23 00:14:20"
"M. Clapham","M. Clapham",,55013,G.,Poinar,"A. J.",Boucot,,2006,"Evidence of intestinal parasites of dinosaurs",Parasitology,,133,,245,249,"journal article","stated with evidence",English,,,,,"2015-04-11 19:00:15","2015-04-12 10:00:15"
"M. Clapham","M. Clapham",,48667,A.,Ponomarenko,X.,Martínez-Delclòs,,2000,"New beetles (Insecta: Coleoptera) from the Lower Cretaceous of Spain","Acta Geologica Hispanica",,35,,47,52,"journal article","stated with evidence",English,,,,,"2013-11-02 16:46:37","2013-11-03 08:46:37"
"M. Bell","M. Bell",,47043,"F. J.",Poyato-Ariza,,,,1994,"A new Early Cretaceous Gonorynchiform fish (Teleostei: Ostariophysi) from Las Hoyas (Cuenca, Spain)","Occassional papers of the Museum of Natural History, The University of Kansas, Lawrence, Kansas",,164,,1,37,"journal article","stated with evidence",English,,,,,"2013-06-04 22:01:53","2013-06-04 22:01:53"
"J. Alroy","E. Leckey","E. Leckey",10745,J.,Prestwich,,,,1846,"On the Tertiary or SupraCretaceous Formations of the Isle of Wight as exhibited in the sections at Alum Bay and White Cliff Bay","Quarterly Journal of the Geological Society of London",,2,,233,259,"journal article","stated without evidence",,,,,,"2004-06-02 16:16:21","2004-06-03 09:16:21"
"M. Carrano","M. Carrano","M. Carrano",31247,"H. C.",Prudden,,,,1995,"Dinosaur vertebra from Watton Cliff","Proceedings of the Dorset Natural History and Archaeological Society",,116,,152,,"journal article","stated without evidence",English,,"issue date 1994; published June 1995",ETE,,"2009-11-25 10:35:05","2010-02-10 04:12:42"
"R. Benson","R. Benson",,42022,A.,Pérez-García,,,,2011,"Revisión de la serie tipo de Peltochelys duchastelli (Chelonii, Trionychoidea) del Cretácio Inferior de Bernissart (Bélgica) [Review of the type series of Peltochelys duchastelii (Chelonii, Trionychoidea) from the Lower Cretaceous of Bernissart (Belgium)]","Viajando a Mundos Pretéritos","A. Pérez-García, F. Gascó, J. M. Gasulla, F. Escaso",,,249,260,"book/book chapter","stated without evidence",Spanish,,,,,"2012-06-16 00:10:43","2012-06-16 00:10:43"
"P. Mannion","P. Mannion",,44067,A.,Pérez-García,,,,2012,"Berruchelus russelli, gen. et sp. nov., a paracryptodiran turtle from the Cenozoic of Europe","Journal of Vertebrate Paleontology",,32,3,545,556,"journal article","stated with evidence",English,,,,,"2012-12-20 02:24:08","2012-12-20 02:24:08"
"M. Carrano","M. Carrano","M. Carrano",12449,"B. P.",Pérez-Moreno,"J. L.",Sanz,"A. D. Buscalioni, J. J. Moratalla, F. Ortega, D. Rasskin-Gutman",1994,"A unique multitoothed ornithomimosaur from the Lower Cretaceous of Spain",Nature,,370,,363,367,"journal article","stated without evidence",,,,ETE,,"2005-01-24 13:38:21","2005-01-25 08:38:21"
"M. Carrano","M. Carrano",,55637,G.-E.,Quinet,,,,1969,,"Bernissart...il y a 125.000.000 d'Années. Le Règne des Iguanodons [Bernissart...125,000,000 Years Ago. The Reign of the Iguanodon]",,,,1,86,book,"stated without evidence",French,,,,,"2015-06-29 10:05:24","2015-06-30 01:05:24"
"J. Alroy","R. Whatley","R. Whatley",11647,J.-C.,Rage,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 1. Amphibiens et reptiles. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 1. Amphibians and reptiles.]","Palaeontographica Abteilung A",,205,1-6,3,27,"journal article","stated without evidence",French,,,,,"2004-09-08 13:32:03","2004-09-09 06:36:30"
"J. Alroy","R. Whatley","R. Whatley",11742,J.-C.,Rage,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 10. Conclusions generales. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 10. General conclusions.].","Palaeontographica Abteilung A",,205,1-6,183,189,"journal article","stated without evidence",French,,,,,"2004-10-05 12:55:42","2004-10-06 05:55:57"
"P. Barrett","T. Cleary",,60167,J.-C.,Rage,,,,1988,"The oldest known colubrid snakes. The state of the art","Acta Zoologica Cracoviensia",,31,13,457,474,"journal article","stated without evidence",English,,,,,"2016-08-19 11:43:29","2016-08-20 02:43:29"
"P. Mannion","P. Mannion","P. Mannion",37390,J.-C.,Rage,,,,2003,"Oldest Bufonidae (Amphibia, Anura) from the Old World: a bufonid from the Paleocene of France","Journal of Vertebrate Paleontology",,23,2,462,463,"journal article","stated with evidence",English,,,,,"2011-09-02 20:52:42","2011-09-02 20:59:29"
"P. Barrett","T. Cleary",,60203,J.-C.,Rage,,,,2006,"The lower vertebrates from the Eocene and Oligocene of the Phosphorites du Quercy (France): an overview",Strata,,1,13,161,173,"journal article","stated without evidence",English,,,,,"2016-08-23 10:13:00","2016-08-24 01:13:00"
"J. Mueller","T. Liebrecht",,54669,J.-C.,Rage,M.,Augé,,2015,"Valbro: A new site of vertebrates from the early Oligocene (MP 22) of France (Quercy). III - Amphibians and squamates","Annales de Paléontologie",,101,1,29,41,"journal article","stated without evidence",English,10.1016/j.annpal.2014.10.002,,,,"2015-03-20 11:58:29","2015-03-21 03:58:29"
"J. Mueller","T. Liebrecht",,43777,J.-C.,Rage,S.,Bailon,,2005,"Amphibians and squamate reptiles from the late early Miocene (MN 4) of Béon 1 (Montréal-du-Gers, southwestern France)",Geodiversitas,,27,3,413,441,"journal article","stated without evidence",English,,,,,"2012-12-06 03:18:57","2012-12-06 03:18:57"
"M. Carrano","M. Carrano","M. Carrano",29589,J.-C.,Rage,D.,Dutheil,,2008,"Amphibians and squamates from the Cretaceous (Cenomanian) of Morocco","Palaeontographica Abteilung A",,285,,1,22,"journal article","stated with evidence",English,,,ETE,,"2009-03-31 10:55:20","2011-08-30 06:40:40"
"J. Alroy","E. Leckey","E. Leckey",10612,"J. C.",Rage,"R. L. E.",Ford,,1980,"Amphibians and Squamates from the Upper Eocene of the Isle of Wight","Tertiary Research",,3,2,47,60,"journal article","stated without evidence",,,,,,"2004-05-25 13:49:28","2004-05-26 06:49:28"
"M. Uhen","M. Uhen",,58881,"S. J.",Rahmat,I.,Koretsky,,2016,"First record of postcranial bones in Devinophoca emryi (Carnivora, Phocidae, Devinophocinae)","Vestnik zoologii",,50,1,71,84,"journal article","stated without evidence",English,10.1515/vzoo-2016-0009,,,,"2016-04-13 16:36:29","2016-04-14 07:36:29"
"M. Clapham","M. Clapham",,39638,"A. P.",Rasnitsyn,X.,Martínez-Delclòs,,1999,"New Cretaceous Scoliidae (Vespida=Hymenoptera) from the Lower Cretaceous of Spain and Brazil","Cretaceous Research",,20,,767,772,"journal article","stated with evidence",English,,,,,"2012-01-23 10:36:08","2012-01-23 10:36:08"
"M. Clapham","M. Clapham","M. Clapham",39604,"A. P.",Rasnitsyn,X.,Martínez-Delclòs,,2000,"Wasps (Insecta: Vespida = Hymenoptera) from the Early Cretaceous of Spain","Acta Geologica Hispanica",,35,,65,95,"journal article","stated with evidence",English,,,,,"2012-01-23 03:53:23","2012-01-23 03:54:34"
"M. Carrano","M. Carrano","M. Carrano",10388,"O. W. M.",Rauhut,,,,1999,"A dinosaur fauna from the Late Cretaceous (Cenomanian) of northern Sudan","Palaeontologia Africana",,35,,61,84,"journal article","stated without evidence",,,,,,"2004-04-28 13:42:22","2004-04-29 06:42:22"
"M. Carrano","M. Carrano","J. Alroy",10383,"O. W. M.",Rauhut,C.,Werner,,1995,"First record of the family Dromaeosauridae (Dinosauria: Theropoda) in the Cretaceous of Gondwana (Wadi Milk Formation, northern Sudan)","Paläontologische Zeitschrift",,69,3/4,475,489,"journal article","stated without evidence",,,,,,"2004-04-28 13:02:10","2006-12-31 09:02:41"
"J. Alroy","R. Whatley","R. Whatley",11653,"J. A.",Remy,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 8. Perissodactyles. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 8. Perissodactyla.]","Palaeontographica Abteilung A",,205,1-6,155,172,"journal article","stated without evidence",French,,,,,"2004-09-08 13:47:53","2004-09-09 06:47:53"
"M. Clapham","M. Clapham",,50631,"G. C.",Ribeiro,"E. D.",Lukashevich,,2014,"New Leptotarsus from the Early Cretaceous of Brazil and Spain: the oldest members of the family Tipulidae (Diptera)",Zootaxa,,3753,,347,363,"journal article","stated with evidence",English,,,,,"2014-04-04 13:00:48","2014-04-05 05:00:48"
"M. Carrano","M. Carrano","M. Carrano",14374,"A. K.",Rozhdestvensky,,,,1973,"The study of Cretaceous reptiles in Russia","Paleontological Journal",,1973,2,90,99,"journal article","stated without evidence",English,,,ETE,,"2005-09-06 12:33:41","2005-09-07 05:33:44"
"M. Carrano","M. Carrano",,55500,"J. I.",Ruiz-Omeñaca,"J. I.",Canudo,,2003,"Dinosaurios (Saurischia, Ornithischia) en el Barremiense (Cretácico Inferior) de la península Ibérica [Dinosaurs (Saurischia, Ornithischia) in the Barremian (Lower Cretaceous) of the Iberian peninsula]","Dinosaurios y Otros Reptiles Mesozóicos de España","F. Pérez Lorente",,,269,312,"book chapter","stated without evidence",English,,,,,"2015-06-12 11:05:41","2015-06-13 02:05:41"
"J. Alroy","J. Alroy",,29562,"D. E.",Russell,,,,1981,"Un primate nouveau du Paléocène supérieur de France",Geobios,,14,3,399,405,"journal article","stated with evidence",English,,,,,"2009-03-28 19:30:26","2009-03-29 13:30:26"
"M. Uhen","M. Uhen",,23390,M.,Sabol,P.,Holec,,2002,"Temporal and spatial distribution of Miocene mammals in the western Carpatians (Slovakia)","Geologica Carpathica",,53,4,269,279,"journal article","stated without evidence",English,,,,,"2007-03-02 13:07:53","2007-03-03 08:07:53"
"M. Uhen","M. Uhen",,23644,M.,Sabol,M.,Kovac,,2006,"Badenian palaeoenvironment, faunal succesion and biostratigraphy: A case study from Northern Vienna Basin, Devinska Nova Ves-Bonanza site (Western Carpathians, Slovakia)","Beitrage zur Palaontologie",,30,,415,425,"journal article","stated without evidence",English,,,,,"2007-03-26 16:21:33","2007-03-27 09:21:39"
"J. Mueller","T. Liebrecht",,57549,V.,Sach,,,,2010,"Einmal Miozän und zurück – Zeitreise am Maurerkopf bei Edelbeuren","Oberschwaben Naturnah",,2010,,41,45,"journal article","stated without evidence",German,,,,,"2016-01-06 11:27:19","2016-01-07 04:27:19"
"M. Uhen","M. Uhen",,23602,"V. J.",Sach,"E. P. J.",Heizmann,,2001,"Stratigraphy and mammal faunas of the Brackwassermolasse in the surroundings of Ulm (Southwest Germany)","Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie)",,310,,1,95,"journal article","stated without evidence",German,,,,,"2007-03-21 08:04:46","2007-03-22 02:04:46"
"P. Mannion","P. Mannion",,39486,"S. W.",Salisbury,,,,2002,"Crocodilians from the Lower Cretaceous (Berriasian) Purbeck Limestone Group of Dorset, southern England","Special Papers in Palaeontology",,68,,121,144,"journal article","stated with evidence",English,,,,,"2012-01-18 04:46:36","2012-01-18 04:46:36"
"P. Mannion","P. Mannion",,39157,"S. W.",Salisbury,"P. M. A.",Willis,"S. Peitz, P. M . Sander",1999,"The crocodilian Goniopholis simus from the Lower Cretaceous of north-western Germany","Special Papers in Palaeontology",,60,,121,148,"journal article","stated with evidence",English,,,,,"2012-01-06 04:15:45","2012-01-06 04:15:45"
"M. Carrano","M. Carrano","M. Carrano",13500,"J. L.",Sanz,"J. F.",Bonaparte,"A. Lacasa",1988,"Unusual Early Cretaceous birds from Spain",Nature,,331,,433,435,"journal article","stated without evidence",,,,ETE,,"2005-05-11 13:40:00","2005-05-12 06:40:00"
"M. Carrano","M. Carrano",,19339,"J. L.",Sanz,"A. D.",Buscalioni,"J. J. Moratalla, V. Francés, M. Antón",1990,"Los reptiles Mesozoicos del registro español [The Mesozoic reptiles from the Spanish record]","Monografias del Museo Nacional de Ciencias Naturales",,2,,1,79,"serial monograph","stated without evidence",Spanish,,,ETE,,"2006-12-05 14:57:14","2006-12-06 09:57:32"
"M. Carrano","M. Carrano","M. Carrano",13505,"J. L.",Sanz,"A. D.",Buscalioni,,1994,,"Géobios, Mémoire Spéciale",,16,,213,217,"journal article","stated without evidence",,,,ETE,,"2005-05-11 14:10:50","2005-05-12 07:10:54"
"M. Carrano","M. Carrano",,24393,"J. L.",Sanz,"L. M.",Chiappe,"A. D. Buscalioni",1995,"The osteology of Concornis lacustris (Aves: Enantiornithes) from the Lower Cretaceous of Spain and a reexamination of its phylogenetic relationships","American Museum Novitates",,3133,,1,23,"journal article","stated without evidence",English,,,ETE,,"2007-05-24 11:08:57","2007-05-25 04:08:57"
"M. Carrano","M. Carrano","M. Carrano",13506,"J. L.",Sanz,"L. M.",Chiappe,"B. P. Pérez-Moreno, A. D. Buscalioni, J. J. Moratalla, F. Ortega, F. J. Poyato-Ariza",1996,"An Early Cretaceous bird from Spain and its implications for the evolution of avian flight",Nature,,382,,442,445,"journal article","stated without evidence",,,,ETE,,"2005-05-11 14:14:29","2005-05-12 07:14:32"
"M. Carrano","M. Carrano",,25164,"J. L.",Sanz,"L. M.",Chiappe,"Y. Fernández-Jalvo, F. Ortega, B. Sánchez-Chillón, F. J. Poyato-Ariza, B. P. Pérez-Moreno",2001,"An Early Cretaceous pellet",Nature,,409,,998,999,"journal article","stated without evidence",English,,,ETE,,"2007-08-27 12:39:41","2007-08-28 05:39:41"
"M. Carrano","M. Carrano",,55576,"J. L.",Sanz,F.,Ortega,"M. Shibata",2014,,"Dinosaurios Maravillosos de España [Marvelous Dinosaurs from Spain]",,,,1,155,book,"stated without evidence",English,,,,,"2015-06-23 14:11:07","2015-06-24 05:11:07"
"J. Alroy","E. Leckey","J. Alroy",7671,"J. L.",Sanz,S.,Wenz,"A. Yebenes, R. Estes, X. Martinez-Delclos, E. Jiminez-Fuentes, C. Dieguez, A. D. Buscalioni, L. J. Barbadillo, L. Via",1988,"An Early Cretaceous faunal and floral continental assemblage: Las Hoyas fossil site (Cuenca, Spain)",Géobios,,21,5,611,635,"journal article","stated without evidence",English,,,5%,14640,"2003-01-20 11:44:03","2006-12-31 09:12:36"
"J. Mueller","T. Liebrecht",,43901,E.,Scherer,,,,1973,"Die obermiozäne Fossil-Lagerstätte Sandelzhausen. 9. Crocodilia","Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historische Geologie",,13,,103,114,"journal article","stated without evidence",German,,,,,"2012-12-13 05:37:45","2012-12-13 05:37:45"
"J. Mueller","T. Liebrecht",,43902,E.,Scherer,,,,1981,"Die mittelmiozäne Fossil-Lagerstätte Sandelzhausen. 12. Crocodylia (abschließender Bericht)","Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historische Geologie",,21,,81,87,"journal article","stated without evidence",German,,,,,"2012-12-13 06:03:04","2012-12-13 06:03:04"
"R. Benson","R. Benson",,44048,"T. M.",Scheyer,J.,Anquetin,,2008,"Bone histology of the Middle Jurassic turtle shell remains from Kirtlington, Oxfordshire, England",Lethaia,,41,,85,96,"journal article","stated without evidence",English,,,,,"2012-12-19 03:43:08","2012-12-19 03:43:08"
"J. Mueller","T. Liebrecht","T. Liebrecht",43939,H.-H.,Schleich,,,,1983,"Die mittelmiozäne Fossil-Lagerstätte Sandelzhausen. 13. Chamaeleo bavaricus sp. nov., ein neuer Nachweis aus dem Jungtertiär Süddeutschlands","Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historische Geologie",,23,,77,81,"journal article","stated without evidence",German,,,,,"2012-12-14 09:00:31","2012-12-14 09:00:52"
"J. Hunter","M. Hall","T. Liebrecht",9144,N.,Schmidt-Kittler,,,,1972,"Die obermiozäne Fossil-Lagerstätte Sandelzhausen. 6. Proboscidea (Mammalia)","Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Histor. Geologie",,12,,83,95,"journal article","stated without evidence",German,,,5%,38460,"2003-09-12 07:46:03","2012-11-26 14:29:54"
"M. Clapham","M. Clapham",,47397,"P. A.",Selden,D.,Penney,,2003,"Lower Cretaceous spiders (Arthropoda: Arachnida: Araneae) from Spain","Neues Jahrbuch für Geologie und Paläontologie, Monatshefte",,2003,,175,192,"journal article","stated with evidence",English,,,,,"2013-06-29 04:14:47","2013-06-29 04:14:47"
"M. Uhen","M. Uhen",,40735,L.,Seward,"S. D.",Chapman,"A. P. Currant",2006,"A catalogue of British Pleistocene birds identified by Colin JO Harrison and stored in the Natural History Museum, London, (Department of Palaeontology)","Historical Biology",,18,2,235,254,"journal article","stated without evidence",English,,,,,"2012-03-10 02:53:36","2012-03-10 02:53:36"
"R. Benson","R. Benson",,42321,D.,Sigogneau-Russell,,,,1998,"Discovery of a Late Jurassic Chinese mammal in the Upper Bathonian of England","Comptes Rendus de l'Académie des Sciences de la Terre et des Planetes",,327,,571,576,"journal article","stated without evidence",English,,,,,"2012-07-17 22:08:42","2012-07-17 22:08:42"
"R. Benson","R. Benson","R. Benson",39266,D.,Sigogneau-Russell,,,,1999,"Reevaluation des Peramura (Mammalia, Cladotheria) sur la base de nouveaux specimens de Cretace inferieur d'Angleterre et du Maroc",Geodiversitas,,21,1,93,127,"journal article","stated without evidence",French,,,,,"2012-01-10 03:24:16","2012-01-10 03:24:24"
"M. Carrano","M. Carrano","J. Tennant",34850,D.,Sigogneau-Russell,,,,2003,"Docodonts from the British Mesozoic","Acta Palaeontologica Polonica",,48,3,357,374,"journal article","stated with evidence",English,,,ETE,,"2011-01-22 05:53:25","2013-02-17 02:12:18"
"J. Alroy","E. Leckey","R. Benson",9437,D.,Sigogneau-Russell,P.,Ensom,,1998,"Thereuodon (Theria, Symmetrodonta) from the Lower Cretaceous of North Africa and Europe, and a brief review of symmetrodonts","Cretaceous Research",,19,,445,470,"journal article","stated without evidence",English,,,,,"2003-10-30 11:56:16","2012-01-05 21:32:18"
"J. Alroy","R. Whatley","R. Whatley",11650,B.,Sigé,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 4. Insectivores et chiropteres. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 4. Insectivores and bats.]","Palaeontographica Abteilung A",,205,1-6,69,102,"journal article","stated without evidence",French,,,,,"2004-09-08 13:41:27","2004-09-09 06:41:27"
"M. Carrano","M. Carrano",,17903,P.,Skutschas,,,,2006,"Mesozoic amphibians from Siberia, Russia","9th International Symposium on Mesozoic Terrestrial Ecosystems and Biota, Abstracts and Proceedings Volume",,,,123,126,"journal article","stated without evidence",English,,,ETE,,"2006-07-07 13:13:54","2006-07-08 06:13:54"
"P. Mannion","J. Tennant","J. Tennant",54019,"P. P.",Skutschas,,,,2014,"Kiyatriton leshchinskiyi Averianov et Voronkevich, 2001, a crown-group salamander from the Lower Cretaceous of Western Siberia, Russia","Cretaceous Research",,51,,88,94,"journal article","stated with evidence",English,,,,,"2015-01-14 05:06:40","2015-01-14 22:40:06"
"P. Mannion","P. Mannion",,42822,"P. P.",Skutschas,"Y. M.",Gubin,,2012,"A new salamander from the late Paleocene–early Eocene of Ukraine","Acta Palaeontologica Polonica",,57,1,135,148,"journal article","stated with evidence",English,,,,,"2012-08-30 20:26:55","2012-08-30 20:26:55"
"R. Benson","R. Benson","P. Mannion",38941,"P. P.",Skutschas,"S. A.",Krasnolutskii,,2011,"A new genus and species of basal salamanders from the Middle Jurassic of western Siberia, Russia","Proceedings of the Zoological Institute of the Russian Academy of Sciences",,315,2,167,175,"journal article","stated with evidence",English,,,,,"2011-12-21 21:47:16","2016-02-26 01:09:20"
"P. Mannion","P. Mannion",,58264,"P. P.",Skutschas,T.,Martin,"S. A. Krasnolutskii",2016,"First Jurassic frog from Siberia, Russia","Journal of Vertebrate Paleontology",,36,,e1101376:1,3,"journal article","stated with evidence",English,,,,,"2016-02-25 08:07:03","2016-02-26 01:07:03"
"M. Uhen","M. Uhen",,19707,T.,Smith,R.,Smith,,2003,"Terrestrial mammals as biostratigraphic indicators in upper Paleocene-lower Eocene marine deposits of the southern North Sea Basin","Geological Society of America Special Paper",,369,,513,520,"journal article","stated without evidence",English,,,5%,57680,"2007-01-22 07:28:42","2007-01-23 02:28:46"
"M. Clapham","J. Karr",,35032,C.,Soriano,X.,Delclos,,2006,"New cupedid beetles from the Lower Cretaceous of Spain and the palaeogeography of the family","Acta Palaeontologica Polonica",,51,,185,200,"journal article","stated without evidence",English,,,,,"2011-02-06 04:52:44","2011-02-06 04:52:44"
"M. Clapham","M. Clapham","M. Clapham",40087,C.,Soriano,"A. G.",Kirejtshuk,"X. Delclòs",2006,"The Mesozoic Laurasian family Parandrexidae (Insecta: Coleoptera:, new species from the Lower Cretaceous of Spain","Comptes Rendus Palevol",,5,,779,784,"journal article","stated with evidence",English,,,,,"2012-02-12 15:53:49","2013-11-04 16:30:36"
"C. Labandeira","C. Labandeira","J. Karr",5066,C.,Soriano,"A. G.",Ponomarenko,"X. Delclòs",2007,"Coptoclavid beetles (Coleoptera: Adephaga) from the Lower Cretaceous of Spain: A new feeding strategy in beetles",Palaeontology,,50,2,525,536,"journal article","stated with evidence",English,,,ETE,778,"2002-03-04 16:40:35","2013-03-15 03:48:50"
"J. Alroy","J. Alroy","J. Alroy",24323,G.,Storch,B.,Engesser,"M. Wuttke",1996,"Oldest fossil record of gliding in rodents",Nature,,379,439,439,441,"journal article","stated with evidence",English,,,,,"2007-05-17 18:08:59","2007-05-18 11:11:09"
"A. Turner","H. O'Regan","H. O'Regan",13380,"A. J.",Stuart,,,,1995,"Insularity and Quaternary vertebrate faunas in Britain and Ireland","In R. C. Preece, ed., Island Britain: a Quaternary perspective. Geological Society Special Publication No. 96, London.",,,,111,125,"book/book chapter","stated without evidence",,,,PACED,,"2005-04-27 07:15:05","2005-04-28 00:15:05"
"E. Fara","E. Fara","J. Alroy",8517,J.,Sudre,,,,1978,"Les artiodactyles de l'Eocene moyen et superieur d'Europe occidentale; systematique et evolution","Memoires et Travaux de l'Institut de Montpellier de l'Ecole Pratique des Hautes Etudes ",,7,,1,229,"serial monograph","stated without evidence",French,,"Published Ph.D. Thesis",5%,7400,"2003-05-19 06:21:14","2004-03-22 08:39:38"
"J. Alroy","R. Whatley","R. Whatley",11652,J.,Sudre,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 7. Artiodactyles. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 7. Artiodactyla.]","Palaeontographica Abteilung A",,205,1-6,129,154,"journal article","stated without evidence",French,,,,,"2004-09-08 13:46:03","2004-09-09 06:46:03"
"J. Alroy","J. Alroy","J. Alroy",3348,"F. S.",Szalay,,,,1969,"Mixodectidae, Microsyopidae, and the insectivore-primate transition","Bulletin of the American Museum of Natural History",,140,4,193,330,"journal article","stated without evidence",,,,,,"2001-03-02 15:01:33","2003-01-17 10:44:38"
"J. Mueller","T. Liebrecht",,43743,Z.,Szyndlar,,,,1991,"A Review of Neogene and Quaternary Snakes of Central and Eastern Europe. Part II: Natricinae, Elapidae, Viperidae","Estudios Geológicos",,47,3-4,237,266,"journal article","stated without evidence",English,10.3989/egeol.91473-4422,,,,"2012-12-04 23:51:01","2012-12-04 23:51:01"
"J. Mueller","T. Liebrecht",,44573,Z.,Szyndlar,,,,1992,"“Coluber” kargii von Meyer, 1845 (Serpentes: Viperidae), from the Miocene of Öhningen (Germany)","Neues Jahrbuch für Geologie und Paläontologie, Monatshefte",,1992,11,692,700,"journal article","stated without evidence",English,,,,,"2013-01-31 01:35:59","2013-01-31 01:35:59"
"J. Mueller","T. Liebrecht",,43688,Z.,Szyndlar,,,,1997,"A review of the fossil Snakes (Reptilia: Serpentes) described by Herman von Meyer","Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",,203,2,211,219,"journal article","stated without evidence",English,,,,,"2012-11-30 05:14:20","2012-11-30 05:14:20"
"J. Mueller","T. Liebrecht",,43680,Z.,Szyndlar,,,,2009,"Snake fauna (Reptilia: Serpentes) from the Early/Middle Miocene of Sandelzhausen and Rothenstein 13 (Germany)","Paläontologische Zeitschrift",,83,1,55,66,"journal article","stated without evidence",English,10.1007/s12542-009-0009-5,,,,"2012-11-30 01:22:52","2012-11-30 01:22:52"
"J. Mueller","T. Liebrecht",,43699,Z.,Szyndlar,J.-C.,Rage,,1999,"Oldest Fossil Vipers (Serpentes: Viperidae) from the Old World","Kaupia - Darmstädter Beiträge zur Naturgeschichte",,8,,9,20,"journal article","stated without evidence",English,,,,,"2012-11-30 13:43:22","2012-11-30 13:43:22"
"J. Head","J. Head",,16853,Z.,Szyndlar,J.-C.,Rage,,2003,"Non-erycine Booidea from the Oligocene and Miocene of Europe",,,,,1,109,"serial monograph","stated without evidence",English,,,,,"2006-03-13 17:57:02","2006-03-14 12:57:10"
"P. Mannion","P. Mannion",,42854,R.,Tabuce,M.,"Telles Antunes","R. Smith, T. Smith",2006,"Dental and tarsal morphology of the European Paleocene/Eocene “condylarth” mammal Microhyus","Acta Palaeontologica Polonica",,51,1,37,52,"journal article","stated with evidence",English,,,,,"2012-09-04 20:38:52","2012-09-04 20:38:52"
"P. Mannion","P. Mannion",,59838,"J. P.",Tennant,"P. D.",Mannion,"P. Upchurch",2016,"Evolutionary relationships and systematics of Atoposauridae (Crocodylomorpha: Neosuchia): implications for the rise of Eusuchia","Zoological Journal of the Linnean Society",,177,,854,936,"journal article","stated with evidence",English,,,,,"2016-07-13 04:10:02","2016-07-13 19:10:02"
